Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,85.18,85.57,85.356
do_command,84.73,85.16,84.94800000000001
dispatch_command,78.66,79.16,78.88
dispatch_sql_command,68.39,69.04,68.662
mysql_execute_command,51.21,51.65,51.465999999999994
Sql_cmd_dml::execute,43.98,44.43,44.242000000000004
Sql_cmd_dml::execute_inner,18.6,18.95,18.790000000000003
Query_expression::optimize,18.38,18.71,18.556
Query_block::optimize,17.22,17.59,17.428
JOIN::optimize,16.92,17.2,17.074
JOIN::make_join_plan,12.24,12.63,12.472
parse_sql,11.05,11.63,11.334
Sql_cmd_dml::prepare,10.34,10.67,10.492
THD::sql_parser,9.98,10.37,10.168000000000001
system_call_fastpath,8.06,8.17,8.112
handler::ha_index_read_map,6.76,7.01,6.894
btr_cur_search_to_nth_level,6.49,6.68,6.582000000000001
ha_innobase::index_read,6.32,6.59,6.492
MYSQLparse,6.31,6.61,6.484
row_search_mvcc,5.71,5.96,5.890000000000001
test_quick_select,5.0,5.38,5.174
open_tables_for_query,5.01,5.23,5.13
JOIN::extract_func_dependent_tables,4.84,5.33,5.081999999999999
"std::thread::_State_impl<std::thread::_Invoker<std::tuple<Detached_thread, void",4.98,5.13,5.05
open_tables,4.72,4.93,4.85
Query_expression::execute,4.62,4.81,4.696
JOIN::estimate_rowcount,4.51,4.8,4.686
Protocol_classic::get_command,4.43,4.73,4.604
join_read_const_table,4.31,4.75,4.524
Query_expression::ExecuteIteratorQuery,4.33,4.56,4.438
read_const,4.15,4.57,4.366
my_net_read,3.53,3.72,3.618
IndexRangeScanIterator::Read,3.27,3.53,3.44
handler::ha_multi_range_read_next,3.24,3.51,3.41
get_key_scans_params,3.28,3.54,3.38
handler::multi_range_read_next,3.21,3.45,3.372
LEX::make_sql_cmd,3.21,3.44,3.336
pfs_end_statement_vc,3.18,3.43,3.2960000000000003
open_table,3.1,3.33,3.218
ha_commit_trans,3.12,3.27,3.1759999999999997
ha_innobase::read_range_first,3.0,3.27,3.1559999999999997
handler::read_range_first,2.96,3.25,3.126
Sql_cmd_update::update_single_table,2.84,3.28,3.12
check_quick_select,3.01,3.19,3.09
Sql_cmd_select::prepare_inner,2.98,3.11,3.062
Sql_cmd_insert_values::execute_inner,2.76,3.13,2.996
DsMrr_impl::dsmrr_info_const,2.86,3.06,2.9539999999999997
vio_read,2.83,2.94,2.8779999999999997
Query_block::prepare,2.79,2.95,2.8680000000000003
handler::multi_range_read_info_const,2.77,2.95,2.848
vio_socket_io_wait,2.79,2.88,2.832
write_record,2.54,2.86,2.754
ppoll,2.71,2.76,2.736
PT_select_stmt::make_cmd,2.42,2.68,2.5580000000000003
ha_innobase::records_in_range,2.5,2.65,2.554
__libc_recv,2.37,2.64,2.5220000000000007
buf_page_get_gen,2.45,2.58,2.5040000000000004
sys_ppoll,2.44,2.52,2.4899999999999998
_int_malloc,2.4,2.59,2.466
MYSQL_BIN_LOG::commit,2.32,2.5,2.406
lf_hash_search,2.27,2.4,2.338
find_or_create_digest,2.26,2.39,2.336
__libc_send,2.3,2.36,2.322
MYSQLlex,2.17,2.31,2.244
PT_query_expression::contextualize,2.16,2.32,2.242
Buf_fetch<Buf_fetch_normal>::single_page,2.18,2.34,2.232
do_sys_poll,2.09,2.16,2.13
trans_commit,2.04,2.23,2.116
schedule,2.04,2.15,2.116
__schedule,2.04,2.16,2.114
finish_task_switch,2.0,2.11,2.066
__memcpy_ssse3_back,1.95,2.03,1.988
handler::ha_write_row,1.8,2.06,1.964
lock_tables,1.82,1.97,1.9
ha_innobase::write_row,1.72,1.98,1.8780000000000001
PT_query_specification::contextualize,1.8,1.96,1.876
optimize_cond,1.74,1.95,1.8539999999999999
row_ins_step,1.6,1.81,1.734
poll_schedule_timeout,1.66,1.77,1.7100000000000002
schedule_hrtimeout_range,1.65,1.74,1.682
schedule_hrtimeout_range_clock,1.63,1.74,1.6780000000000002
SortingIterator::Init,1.59,1.81,1.6780000000000002
SortingIterator::DoSort,1.56,1.79,1.6560000000000001
