Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,78.96,79.45,79.25199999999998
do_command,78.88,79.38,79.164
dispatch_command,76.4,77.01,76.64399999999999
dispatch_sql_command,73.62,74.26,73.898
mysql_execute_command,66.76,67.61,67.11
Sql_cmd_dml::execute,62.42,63.62,62.878
buf_page_get_gen,35.83,38.5,37.004
system_call_fastpath,34.59,35.02,34.83800000000001
buf_read_page_low,33.09,35.58,34.314
btr_cur_search_to_nth_level,33.34,35.22,34.148
buf_read_page,31.59,33.87,32.664
Buf_fetch<Buf_fetch_normal>::single_page,27.91,30.72,28.978
buf_flush_page,26.61,28.07,27.48
buf_page_init_for_read,26.7,27.98,27.234
buf_LRU_get_free_block,26.38,27.63,27.064000000000004
buf_flush_single_page_from_LRU,25.74,27.05,26.471999999999998
Buf_fetch_normal::get,25.55,27.83,26.444
Buf_fetch<Buf_fetch_normal>::read_page,24.57,26.84,25.494
Double_write::sync_page_flush,24.23,25.58,25.074
[libpthread-2.17.so],23.74,24.69,24.375999999999998
Sql_cmd_update::update_single_table,22.08,23.6,23.055999999999997
test_quick_select,17.2,18.72,18.032
row_search_mvcc,16.86,17.96,17.631999999999998
get_key_scans_params,16.55,18.03,17.416
check_quick_select,16.43,17.9,17.296
DsMrr_impl::dsmrr_info_const,16.33,17.78,17.2
handler::multi_range_read_info_const,16.29,17.73,17.151999999999997
ha_innobase::records_in_range,16.09,17.5,16.972
handler::ha_index_read_map,16.22,17.29,16.922
ha_innobase::index_read,16.1,17.12,16.772000000000002
"std::thread::_State_impl<std::thread::_Invoker<std::tuple<Detached_thread, void",16.19,16.45,16.312
Sql_cmd_dml::execute_inner,15.93,16.48,16.29
Query_expression::optimize,15.89,16.39,16.22
Query_block::optimize,15.68,16.16,15.998
JOIN::optimize,15.51,16.02,15.842000000000002
do_fsync,14.11,14.83,14.446000000000002
ext4_sync_file,14.03,14.79,14.377999999999997
JOIN::make_join_plan,14.04,14.49,14.284
sys_fsync,13.74,14.53,14.1
_raw_spin_unlock_irqrestore,11.44,12.31,11.796000000000001
Sql_cmd_insert_values::execute_inner,9.6,10.7,9.991999999999999
write_record,9.32,10.4,9.7
JOIN::extract_func_dependent_tables,9.22,9.87,9.538
join_read_const_table,9.04,9.63,9.314
handler::ha_write_row,8.73,9.77,9.098000000000003
ha_innobase::write_row,8.71,9.75,9.076
read_const,8.81,9.32,9.046000000000001
row_ins_step,8.63,9.66,8.998
buf_page_io_complete,7.99,9.5,8.889999999999999
fil_io,8.43,8.74,8.548
filemap_write_and_wait_range,8.23,8.89,8.524000000000001
Fil_shard::do_io,8.21,8.54,8.298000000000002
Query_expression::execute,7.31,8.25,7.74
Query_expression::ExecuteIteratorQuery,7.24,8.21,7.674000000000001
Buf_fetch<Buf_fetch_other>::single_page,7.23,7.89,7.444
Buf_fetch_other::get,7.12,7.67,7.290000000000001
Buf_fetch<Buf_fetch_other>::read_page,7.05,7.61,7.208
Fil_shard::space_flush,5.94,6.56,6.154
ext4_file_write,5.8,6.29,6.0520000000000005
generic_file_aio_write,5.75,6.22,5.986
os_file_write_func,5.64,6.28,5.944
AggregateIterator::Read,5.42,6.46,5.882
row_ins_sec_index_entry,5.48,6.28,5.744000000000001
vfs_write,5.48,6.02,5.733999999999999
sys_pwrite64,5.39,5.95,5.666
NestedLoopIterator::Read,5.21,6.22,5.6579999999999995
FilterIterator::Read,5.19,6.22,5.644
do_sync_write,5.41,5.89,5.640000000000001
fil_flush,5.38,5.94,5.562
parse_sql,5.31,5.59,5.492
EQRefIterator::Read,4.96,5.78,5.324
row_ins_sec_index_entry_low,4.95,5.71,5.223999999999999
jbd2_complete_transaction,5.01,5.44,5.17
THD::sql_parser,4.9,5.18,5.086
jbd2_log_wait_commit,4.92,5.32,5.040000000000001
Double_write::write_to_datafile,4.7,5.05,4.903999999999999
Detached_thread::operator,4.6,5.01,4.813999999999999
filemap_fdatawait_range,4.46,5.17,4.724
__filemap_fdatawait_range,4.45,5.12,4.6979999999999995
prepare_to_wait,4.4,4.72,4.524
__generic_file_aio_write,4.27,4.65,4.478
Sql_cmd_dml::prepare,4.16,4.65,4.343999999999999
__wait_on_bit,3.88,4.48,4.15
__libc_send,3.9,4.4,4.144
srv_purge_coordinator_thread,3.9,4.32,4.114
wait_on_page_bit,3.88,4.42,4.09
JOIN::estimate_rowcount,3.86,4.13,4.008
do_softirq,3.66,4.1,3.918
sys_sendto,3.65,4.12,3.906
SYSC_sendto,3.65,4.11,3.896
call_softirq,3.63,4.04,3.88
__do_softirq,3.61,3.99,3.842
sys_futex,3.68,3.98,3.81
sock_sendmsg,3.57,4.03,3.806
__filemap_fdatawrite_range,3.67,4.09,3.786
inet_sendmsg,3.56,3.96,3.7700000000000005
do_writepages,3.63,4.06,3.7659999999999996
ext4_writepages,3.63,4.01,3.7299999999999995
tcp_sendmsg,3.46,3.87,3.696
ut_delay,3.4,3.99,3.696
os_file_read_func,3.61,3.79,3.688
generic_file_buffered_write,3.47,3.82,3.6680000000000006
do_futex,3.56,3.78,3.662
MYSQLparse,3.5,3.67,3.594
__schedule,3.28,3.76,3.5759999999999996
bit_wait_io,3.24,3.64,3.498
io_schedule_timeout,3.21,3.51,3.4
io_schedule,3.17,3.47,3.3400000000000007
schedule,2.99,3.51,3.3239999999999994
tcp_push,2.95,3.44,3.29
__tcp_push_pending_frames,2.95,3.4,3.272
tcp_write_xmit,2.93,3.37,3.246
sys_pread64,3.09,3.24,3.2079999999999997
row_ins_clust_index_entry,3.0,3.38,3.2019999999999995
IndexRangeScanIterator::Read,2.96,3.4,3.1759999999999997
finish_task_switch,2.87,3.32,3.16
ibuf_insert,2.99,3.34,3.1559999999999997
handler::ha_multi_range_read_next,2.93,3.38,3.15
handler::multi_range_read_next,2.92,3.35,3.136
__wake_up_common_lock,2.99,3.22,3.13
tcp_transmit_skb,2.8,3.21,3.1079999999999997
vfs_read,3.0,3.16,3.102
ext4_file_read,2.98,3.12,3.072
ibuf_merge_or_delete_for_page,2.62,3.48,3.054
generic_file_aio_read2,2.94,3.1,3.046
do_generic_file_read.constprop.52,2.92,3.08,3.008
do_sync_read,2.9,3.05,2.998
binlog_log_row,2.78,3.15,2.954
copy_user_enhanced_fast_string,2.83,3.06,2.9200000000000004
ip_queue_xmit,2.59,3.02,2.902
ip_local_out_sk,2.54,2.98,2.85
ip_output,2.54,2.98,2.846
ip_finish_output,2.51,2.95,2.8120000000000003
ha_commit_trans,2.47,2.99,2.7640000000000002
row_ins_clust_index_entry_low,2.53,2.94,2.714
fil_aio_wait,2.42,2.63,2.516
ha_innobase::read_range_first,2.28,2.64,2.5020000000000002
handler::read_range_first,2.28,2.63,2.4939999999999998
local_bh_enable,2.18,2.62,2.4899999999999998
__local_bh_enable_ip,2.17,2.61,2.4799999999999995
syscall,2.27,2.74,2.432
MYSQL_BIN_LOG::commit,2.1,2.67,2.3999999999999995
net_rx_action,2.07,2.5,2.318
process_backlog,2.05,2.48,2.29
ib_pg_flush_co,2.25,2.35,2.2880000000000003
trans_commit,2.09,2.6,2.282
__netif_receive_skb,2.03,2.47,2.268
buf_flush_do_batch,2.22,2.31,2.2640000000000002
__netif_receive_skb_core,2.02,2.46,2.256
ib_srv_purge,2.11,2.38,2.25
Protocol_classic::get_command,2.02,2.37,2.212
ip_rcv,1.97,2.39,2.2039999999999997
handler::ha_update_row,1.82,2.45,2.1799999999999997
os_file_write_retry,1.93,2.31,2.1660000000000004
ha_innobase::update_row,1.81,2.43,2.164
ip_local_deliver,1.91,2.36,2.154
ip_rcv_finish,1.91,2.34,2.152
ip_local_deliver_finish,1.89,2.33,2.128
my_net_read,1.9,2.21,2.0759999999999996
wake_up_q,1.91,2.22,2.0620000000000003
tcp_v4_rcv,1.86,2.26,2.058
MYSQL_BIN_LOG::ordered_commit,1.87,2.32,2.056
try_to_wake_up,1.89,2.21,2.054
Double_write::single_write,1.86,2.21,2.0420000000000003
buf_LRU_free_page,1.51,2.36,1.972
row_upd_step,1.67,2.21,1.9580000000000002
dblwr::write,1.83,2.0,1.9140000000000001
tcp_prequeue,1.68,2.11,1.9119999999999997
Double_write::enqueue,1.75,1.88,1.8199999999999998
__wake_up_sync_key,1.56,2.02,1.796
open_tables_for_query,1.66,1.93,1.786
__lll_unlock_wake,1.64,1.84,1.732
open_tables,1.59,1.82,1.674
schedule_timeout,1.55,1.85,1.6400000000000001
mutex_enter_inline<PolicyMutex<TTASEventMutex<GenericPolicy> > >,1.36,1.75,1.6060000000000003
rec_get_offsets,1.48,1.76,1.6039999999999999
btr_cur_optimistic_insert,1.3,1.75,1.542
page_cur_search_with_match,1.34,1.68,1.502
system_call_after_swapgs,1.4,1.59,1.472
irq_exit,1.23,1.59,1.458
vio_read,1.28,1.61,1.456
buf_read_page_background,1.29,1.57,1.444
vio_socket_io_wait,1.25,1.6,1.422
ppoll,1.22,1.59,1.4060000000000001
LEX::make_sql_cmd,1.28,1.41,1.354
__wake_up,1.17,1.46,1.3439999999999999
btr_search_drop_page_hash_index,0.87,1.66,1.3399999999999999
trx_undo_report_row_operation,0.9,1.59,1.3379999999999999
mutex_lock,1.27,1.35,1.328
__mutex_lock_slowpath,1.22,1.32,1.284
ha_innobase::general_fetch,1.23,1.3,1.2639999999999998
mpage_prepare_extent_to_map,1.16,1.32,1.236
ext4_da_write_begin,1.14,1.36,1.232
__memcpy_ssse3_back,1.12,1.34,1.218
MYSQLlex,1.13,1.34,1.214
futex_wait,0.94,1.34,1.214
futex_wake,1.03,1.32,1.21
os_event::wait_time_low,1.01,1.32,1.202
pthread_cond_broadcast@@GLIBC_2.3.2,1.09,1.27,1.186
ib_log_flush,1.12,1.22,1.1720000000000002
ext4_da_write_end,1.12,1.25,1.17
Sql_cmd_select::prepare_inner,1.04,1.41,1.15
log_flusher,1.06,1.21,1.144
ib_log_writer,1.11,1.19,1.138
sys_ppoll,0.97,1.29,1.1340000000000001
pthread_cond_wait@@GLIBC_2.3.2,0.93,1.22,1.1219999999999999
__irqentry_text_start,0.95,1.22,1.1219999999999999
ret_from_intr,0.95,1.22,1.1219999999999999
virtblk_request_done,0.91,1.21,1.11
blk_done_softirq,0.91,1.21,1.11
blk_mq_end_request,0.91,1.2,1.108
__delayacct_blkio_end,0.99,1.29,1.104
pthread_cond_timedwait@@GLIBC_2.3.2,0.99,1.17,1.104
Query_block::prepare,0.97,1.35,1.0899999999999999
trx_purge,0.98,1.22,1.086
__libc_recv,1.02,1.15,1.084
handler::ha_index_next_same,0.99,1.12,1.07
__wake_up_bit,0.88,1.23,1.07
btr_cur_latch_leaves,0.94,1.24,1.068
RefIterator<false>::Read,0.96,1.19,1.058
cmp_dtuple_rec_with_match_low,0.94,1.19,1.0539999999999998
blk_update_request,0.8,1.12,1.016
log_writer,0.97,1.05,1.014
bio_endio,0.8,1.12,1.014
futex_requeue,0.89,1.1,1.006
ext4_end_bio,0.75,1.12,0.9960000000000001
delayacct_end,0.89,1.14,0.994
do_sys_poll,0.83,1.14,0.9879999999999999
ext4_finish_bio,0.75,1.1,0.9780000000000001
mpage_process_page_bufs,0.9,1.04,0.978
mpage_submit_page,0.93,1.01,0.978
THD::binlog_write_table_map,0.9,1.07,0.9720000000000001
btr_pcur_t::restore_position,0.86,1.16,0.97
trx_coordinator::commit_in_engines,0.8,1.09,0.9600000000000002
end_page_writeback,0.72,1.08,0.96
page_cur_search_with_match_bytes,0.9,0.99,0.942
row_ins_check_foreign_constraint,0.84,1.05,0.93
