Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,81.18,82.6,81.778
do_command,81.08,82.43,81.66799999999999
dispatch_command,79.26,80.61,79.8585
dispatch_sql_command,75.99,77.59,76.6005
mysql_execute_command,68.13,69.79,68.858
Sql_cmd_dml::execute,64.05,65.64,64.96000000000001
buf_page_get_gen,35.78,37.32,36.54200000000001
btr_cur_search_to_nth_level,32.4,34.97,33.169999999999995
buf_read_page_low,32.37,33.54,33.016999999999996
buf_read_page,31.03,32.3,31.7095
system_call_fastpath,29.33,30.76,30.021499999999996
Buf_fetch<Buf_fetch_normal>::single_page,27.17,29.52,28.163499999999992
buf_page_init_for_read,26.46,27.46,26.9995
buf_LRU_get_free_block,25.91,27.04,26.59250000000001
buf_flush_single_page_from_LRU,25.15,26.39,25.904000000000003
buf_flush_page,24.7,25.85,25.422
Buf_fetch_normal::get,24.47,26.52,25.324
Buf_fetch<Buf_fetch_normal>::read_page,23.39,25.35,24.201500000000003
Double_write::sync_page_flush,23.23,24.42,23.944
Sql_cmd_update::update_single_table,21.58,23.12,22.341
[libpthread-2.17.so],21.36,22.71,22.038499999999996
row_search_mvcc,18.02,20.03,18.6695
handler::ha_index_read_map,17.4,19.2,17.907
ha_innobase::index_read,17.26,19.02,17.743
test_quick_select,17.11,18.22,17.696
get_key_scans_params,16.47,17.69,17.050500000000003
check_quick_select,16.34,17.53,16.910999999999998
DsMrr_impl::dsmrr_info_const,16.29,17.44,16.829499999999996
handler::multi_range_read_info_const,16.24,17.4,16.7825
ha_innobase::records_in_range,16.08,17.22,16.595
Sql_cmd_dml::execute_inner,15.9,17.25,16.4935
Query_expression::optimize,15.84,17.21,16.426
Query_block::optimize,15.62,16.98,16.206500000000002
JOIN::optimize,15.43,16.8,16.0535
JOIN::make_join_plan,13.97,15.25,14.523000000000001
Sql_cmd_insert_values::execute_inner,10.54,11.72,11.090999999999998
do_fsync,10.41,11.39,10.863499999999998
ext4_sync_file,10.34,11.34,10.809500000000002
write_record,10.27,11.38,10.784499999999998
sys_fsync,10.16,11.14,10.617
handler::ha_write_row,9.62,10.65,10.126500000000004
"std::thread::_State_impl<std::thread::_Invoker<std::tuple<Detached_thread, void",9.76,10.39,10.100999999999999
ha_innobase::write_row,9.56,10.63,10.087000000000003
_raw_spin_unlock_irqrestore,9.3,10.48,10.064000000000002
row_ins_step,9.43,10.52,9.977499999999997
JOIN::extract_func_dependent_tables,8.87,9.98,9.439
fil_io,8.87,10.02,9.291500000000003
join_read_const_table,8.7,9.77,9.226
Query_expression::execute,8.3,9.77,9.045999999999998
Fil_shard::do_io,8.56,9.73,9.015000000000002
Query_expression::ExecuteIteratorQuery,8.19,9.72,8.9665
read_const,8.46,9.52,8.962500000000002
