Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,85.12,85.41,85.298
do_command,84.78,85.01,84.928
dispatch_command,78.64,79.14,78.912
dispatch_sql_command,68.73,69.03,68.91999999999999
mysql_execute_command,51.36,52.1,51.75
Sql_cmd_dml::execute,44.14,44.67,44.39
Sql_cmd_dml::execute_inner,18.31,19.08,18.726
Query_expression::optimize,18.08,18.82,18.49
Query_block::optimize,16.98,17.66,17.363999999999997
JOIN::optimize,16.65,17.34,17.034
JOIN::make_join_plan,12.28,12.62,12.478
parse_sql,11.37,11.63,11.505999999999998
Sql_cmd_dml::prepare,10.4,10.67,10.564000000000002
THD::sql_parser,10.19,10.48,10.35
system_call_fastpath,7.88,8.19,8.002
handler::ha_index_read_map,6.57,6.97,6.796000000000001
btr_cur_search_to_nth_level,6.53,6.8,6.6819999999999995
MYSQLparse,6.41,6.72,6.616000000000001
ha_innobase::index_read,6.22,6.6,6.4399999999999995
row_search_mvcc,5.66,5.93,5.8
open_tables_for_query,5.06,5.31,5.208
test_quick_select,5.04,5.3,5.132
"std::thread::_State_impl<std::thread::_Invoker<std::tuple<Detached_thread, void",5.06,5.12,5.087999999999999
JOIN::extract_func_dependent_tables,4.93,5.21,5.086
open_tables,4.81,5.08,4.95
Query_expression::execute,4.59,4.84,4.692
JOIN::estimate_rowcount,4.63,4.8,4.69
join_read_const_table,4.38,4.64,4.537999999999999
Protocol_classic::get_command,4.4,4.69,4.522
Query_expression::ExecuteIteratorQuery,4.3,4.55,4.414
read_const,4.2,4.51,4.362
my_net_read,3.45,3.63,3.5520000000000005
IndexRangeScanIterator::Read,3.33,3.56,3.404
LEX::make_sql_cmd,3.31,3.43,3.368
handler::ha_multi_range_read_next,3.29,3.51,3.3619999999999997
get_key_scans_params,3.27,3.49,3.3599999999999994
handler::multi_range_read_next,3.26,3.48,3.3379999999999996
open_table,3.17,3.39,3.2939999999999996
ha_commit_trans,3.22,3.33,3.2700000000000005
pfs_end_statement_vc,3.02,3.29,3.224
Sql_cmd_update::update_single_table,3.08,3.24,3.168
ha_innobase::read_range_first,3.05,3.26,3.116
check_quick_select,3.03,3.23,3.098
Sql_cmd_select::prepare_inner,3.04,3.2,3.096
handler::read_range_first,3.02,3.21,3.082
Sql_cmd_insert_values::execute_inner,3.0,3.18,3.068
DsMrr_impl::dsmrr_info_const,2.92,3.13,2.9859999999999998
Query_block::prepare,2.83,2.97,2.89
handler::multi_range_read_info_const,2.82,3.04,2.8899999999999997
vio_read,2.74,2.94,2.85
write_record,2.75,2.93,2.836
vio_socket_io_wait,2.68,2.88,2.7880000000000003
ppoll,2.59,2.79,2.696
ha_innobase::records_in_range,2.54,2.76,2.6159999999999997
PT_select_stmt::make_cmd,2.49,2.64,2.552
buf_page_get_gen,2.47,2.6,2.54
__libc_recv,2.44,2.59,2.5359999999999996
_int_malloc,2.39,2.62,2.534
MYSQL_BIN_LOG::commit,2.36,2.56,2.464
sys_ppoll,2.31,2.53,2.418
lf_hash_search,2.24,2.38,2.304
find_or_create_digest,2.2,2.39,2.304
__libc_send,2.18,2.44,2.2800000000000002
PT_query_expression::contextualize,2.12,2.36,2.242
Buf_fetch<Buf_fetch_normal>::single_page,2.17,2.31,2.24
MYSQLlex,2.11,2.33,2.2359999999999998
trans_commit,1.99,2.25,2.13
__schedule,2.02,2.24,2.104
schedule,2.01,2.25,2.1020000000000003
do_sys_poll,1.97,2.16,2.062
finish_task_switch,1.97,2.2,2.0599999999999996
handler::ha_write_row,1.93,2.02,1.984
__memcpy_ssse3_back,1.77,2.03,1.95
lock_tables,1.83,1.99,1.9300000000000002
ha_innobase::write_row,1.85,1.96,1.92
PT_query_specification::contextualize,1.78,1.95,1.85
optimize_cond,1.7,1.88,1.8
row_ins_step,1.7,1.82,1.7739999999999998
SortingIterator::Init,1.64,1.72,1.686
SortingIterator::DoSort,1.61,1.69,1.6619999999999997
poll_schedule_timeout,1.56,1.73,1.6459999999999997
page_cur_search_with_match_bytes,1.56,1.67,1.626
schedule_hrtimeout_range,1.54,1.71,1.6179999999999999
