Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
NestedLoopIterator::Read,125.03,167.54,141.314
Query_expression::ExecuteIteratorQuery,99.93,101.24,100.688
Query_expression::execute,99.93,101.24,100.688
start_thread,99.32,99.41,99.35799999999999
do_command,99.32,99.4,99.346
dispatch_command,99.32,99.4,99.34400000000001
dispatch_sql_command,99.32,99.4,99.34400000000001
mysql_execute_command,99.32,99.4,99.34400000000001
Sql_cmd_dml::execute,99.3,99.38,99.336
SortingIterator::Init,75.52,89.17,85.354
SortingIterator::DoSort,75.52,89.17,85.354
filesort,75.52,89.17,85.354
TemptableAggregateIterator<DummyIteratorProfiler>::Init,73.11,88.45,84.01599999999999
FilterIterator::Read,69.15,84.97,75.184
row_search_mvcc,55.41,66.86,60.172000000000004
handler::ha_index_read_map,36.43,47.64,40.314
ha_innobase::index_read,33.12,45.84,37.838
LimitOffsetIterator::Init,30.39,38.95,34.354
RefIterator<false>::Read,27.63,44.39,33.782000000000004
AggregateIterator::Read,24.16,37.51,31.336000000000002
NestedLoopIterator::Init,26.04,39.43,29.412
ha_innobase::general_fetch,27.37,32.67,28.922000000000004
TableScanIterator::Read,21.42,31.81,24.884000000000004
handler::ha_rnd_next,21.11,31.22,24.462
btr_cur_search_to_nth_level,19.92,28.68,23.322000000000003
MaterializeIterator<DummyIteratorProfiler>::Init,9.67,25.69,16.934
MaterializeIterator<DummyIteratorProfiler>::MaterializeQueryBlock,9.67,25.66,16.912
row_sel_store_mysql_rec,11.89,16.37,14.002
rec_get_offsets,11.64,14.31,13.044
EQRefIterator::Read,8.27,12.49,10.782
Row_sel_get_clust_rec_for_mysql::operator,8.13,16.1,10.762
HashJoinIterator::Init,8.68,13.14,10.175999999999998
HashJoinIterator::BuildHashTable,8.67,13.13,10.156
rec_init_offsets_comp_ordinary,8.55,9.89,9.209999999999999
btr_search_guess_on_hash,6.44,11.72,8.068000000000001
update_tmptable_sum_func,0.31,13.02,7.236
Item::val_bool,5.34,7.47,6.348
handler::ha_index_next_same,4.03,7.53,5.506
Item_subselect::exec,3.88,6.9,5.382
Item_sum_sum::update_field,0.3,8.96,5.124
page_cur_search_with_match,4.04,7.58,5.06
cmp_dtuple_rec_with_match_low,3.96,6.98,4.958
Item_cond_and::val_int,3.34,5.79,4.188
Item_in_optimizer::val_int,1.99,5.36,4.172
Item_in_subselect::val_bool_naked,1.99,5.31,4.116
buf_page_get_gen,3.36,5.45,4.036
subselect_hash_sj_engine::exec,1.99,5.21,3.9979999999999998
page_cur_search_with_match_bytes,3.23,5.42,3.886
HashJoinIterator::Read,2.42,4.62,3.7039999999999997
row_sel_field_store_in_mysql_format_func,2.81,4.3,3.4619999999999997
Buf_fetch<Buf_fetch_normal>::single_page,2.8,4.33,3.2619999999999996
Item_func_mul::decimal_op,0.31,5.29,3.106
__memcpy_ssse3_back,2.04,3.05,2.6659999999999995
IndexScanIterator<false>::Read,1.08,3.82,2.624
handler::ha_index_next,1.05,3.74,2.572
HashJoinIterator::ReadRowFromProbeIterator,2.04,3.4,2.5119999999999996
Item_func_like::val_int,1.25,4.2,2.5
Arg_comparator::compare_datetime,1.96,3.5,2.492
Item_func_not::val_int,0.96,3.94,2.4
Field_new_decimal::val_decimal,0.21,4.08,2.298
Item_sum_avg::update_field,0.36,3.5,2.2375
rec_offs_nth_extern,1.84,2.69,2.18
btr_cur_search_to_nth_level_with_no_latch,1.2,4.49,2.136
bin2decimal,0.15,3.79,2.1279999999999997
Buf_fetch_normal::get,1.75,2.88,2.058
row_search_no_mvcc,1.0,3.86,1.7600000000000002
cmp_data,1.35,2.11,1.658
handler::ha_update_row,0.83,2.93,1.65
btr_pcur_t::restore_position,1.25,1.97,1.5539999999999998
Item_func_lt::val_int,1.02,2.05,1.5
my_timer_cycles,1.14,2.08,1.488
Arg_comparator::compare_decimal,0.65,2.02,1.448
get_datetime_value,1.11,2.02,1.4460000000000002
rec_get_nth_field_offs,1.31,1.52,1.4220000000000002
Buf_fetch<Buf_fetch_normal>::lookup,1.22,1.81,1.3719999999999999
Item_singlerow_subselect::val_decimal,0.55,1.88,1.3539999999999999
SubqueryWithResult::exec,0.55,1.88,1.3519999999999999
my_decimal2binary,0.04,2.36,1.3279999999999998
cmp_dtuple_rec,0.83,1.94,1.272
Item_func_ge::val_int,1.03,2.04,1.264
Item_func_in::val_int,0.93,1.36,1.21
Item_func_gt::val_int,0.63,2.0,1.188
construct_lookup,0.84,1.47,1.1119999999999999
ha_innobase::update_row,0.6,2.54,1.1039999999999999
btr_pcur_t::move_to_next,0.92,1.33,1.084
temptable::Handler::index_read,0.46,1.62,1.084
in_string::find_item,0.88,1.15,1.0579999999999998
row_update_for_mysql,0.58,2.36,1.026
Field_new_decimal::store_value,0.07,1.8,1.004
Item_func_minus::decimal_op,0.16,1.51,1.0
store_key::copy,0.77,1.3,0.998
rec_init_offsets,0.79,1.61,0.9960000000000001
temptable::Hash_unique::lookup,0.37,1.47,0.986
Item::save_in_field,0.82,1.15,0.96
cmp_dtuple_rec_with_match_bytes,0.8,1.27,0.9559999999999998
ExecuteExistsQuery,0.58,1.54,0.91
StreamingIterator::Read,0.07,1.86,0.9059999999999999
buf_page_get_known_nowait,0.47,1.46,0.8640000000000001
store_key::copy_inner,0.65,1.11,0.8560000000000001
row_prebuilt_t::skip_concurrency_ticket,0.7,0.95,0.828
decimal2bin,0.02,1.44,0.8160000000000001
pfs_end_table_io_wait_v1,0.65,1.01,0.776
mtr_t::commit,0.45,1.03,0.748
system_call_fastpath,0.67,0.8,0.7180000000000002
my_decimal::check_result,0.08,1.21,0.706
lock_clust_rec_cons_read_sees,0.65,0.74,0.696
buf::Block_hint::buffer_fix_block_if_still_valid,0.51,0.97,0.6699999999999999
HashJoinIterator::ReadNextJoinedRowFromHashTable,0.38,0.93,0.6639999999999999
buf_block_from_ahi,0.55,0.97,0.662
pack_rows::LoadIntoTableBuffers,0.47,0.91,0.638
