Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
start_thread,71.69,87.62,82.904
do_command,71.44,87.48,82.75209999999998
dispatch_command,67.21,84.81,79.49200000000002
dispatch_sql_command,60.52,81.59,75.2884
mysql_execute_command,47.63,75.47,67.06670000000004
Sql_cmd_dml::execute,40.6,68.99,60.29440000000003
ut_delay,1.18,54.16,38.29850000000001
buf_page_get_gen,2.4,45.24,32.1647
btr_cur_search_to_nth_level,6.38,42.31,30.926400000000005
Buf_fetch<Buf_fetch_normal>::single_page,2.16,40.01,28.297399999999996
Sql_cmd_dml::execute_inner,17.08,30.64,25.92800000000002
Query_expression::optimize,16.85,30.54,25.78789999999999
Query_block::optimize,16.05,30.07,25.232099999999996
JOIN::optimize,15.72,29.93,25.05459999999999
JOIN::make_join_plan,11.48,27.77,22.4036
handler::ha_index_read_map,6.68,25.08,19.41900000000001
ha_innobase::index_read,6.39,24.93,19.225900000000003
row_search_mvcc,5.63,24.57,18.753300000000003
entry_SYSCALL_64_after_hwframe,11.49,29.41,15.285700000000002
do_syscall_64,11.04,28.53,14.721600000000002
Sql_cmd_insert_values::execute_inner,3.06,18.51,12.731500000000004
write_record,2.81,18.39,12.583499999999999
handler::ha_write_row,2.8,18.38,12.576099999999999
ha_innobase::write_row,1.81,17.97,12.018500000000001
test_quick_select,4.93,15.54,11.802400000000002
row_ins_step,1.63,17.5,11.554799999999998
JOIN::estimate_rowcount,4.48,15.28,11.536899999999996
IndexRangeScanIterator::Read,3.3,14.68,10.8988
handler::ha_multi_range_read_next,3.25,14.67,10.876699999999998
handler::multi_range_read_next,3.23,14.66,10.859300000000001
ha_innobase::read_range_first,3.2,14.64,10.836500000000001
handler::read_range_first,3.15,14.63,10.813800000000004
get_key_scans_params,3.29,14.67,10.783199999999999
check_quick_select,3.06,14.52,10.6258
DsMrr_impl::dsmrr_info_const,2.91,14.45,10.544199999999998
handler::multi_range_read_info_const,2.84,14.41,10.490400000000001
ha_innobase::records_in_range,2.57,14.25,10.328600000000003
JOIN::extract_func_dependent_tables,4.64,11.52,9.355
join_read_const_table,4.21,11.27,9.0483
read_const,4.11,11.21,8.979900000000002
Sql_cmd_update::execute_inner,2.92,11.08,8.3454
Sql_cmd_update::update_single_table,2.81,11.02,8.271600000000001
row_ins_clust_index_entry,1.13,10.85,7.258300000000002
row_ins_clust_index_entry_low,1.09,10.83,7.239700000000004
schedule,5.26,15.72,7.160699999999996
__schedule,5.23,15.69,7.122700000000001
parse_sql,4.55,9.88,6.126299999999997
Sql_cmd_dml::prepare,4.5,9.64,6.0827
THD::sql_parser,4.19,9.03,5.615000000000002
__pthread_mutex_cond_lock,3.91,9.02,5.427900000000001
finish_task_switch.isra.0,3.43,12.1,4.892900000000003
__perf_event_task_sched_in,3.3,11.77,4.746500000000003
perf_ctx_enable,3.21,11.58,4.656700000000002
__intel_pmu_enable_all.constprop.0,3.2,11.49,4.633199999999999
row_ins_sec_index_entry,0.47,6.88,4.309499999999999
row_ins_sec_index_entry_low,0.45,6.87,4.298600000000001
ha_commit_trans,3.07,5.15,4.2743
__x64_sys_futex,3.24,8.71,4.2517000000000005
do_futex,3.22,8.67,4.229699999999997
__libc_recv,3.04,6.57,4.0953
Buf_fetch<Buf_fetch_other>::single_page,0.06,6.38,3.7576999999999994
futex_wait,2.8,7.86,3.7095000000000002
__futex_wait,2.78,7.79,3.6734000000000004
MYSQLparse,2.63,5.8,3.5959999999999996
trans_commit,1.94,4.65,3.5706000000000016
__libc_send,2.49,6.24,3.5168000000000013
futex_wait_queue,2.65,7.41,3.4904000000000015
MYSQL_BIN_LOG::commit,2.22,4.13,3.3015000000000008
open_tables_for_query,2.29,5.02,3.136600000000001
Sql_cmd_delete::execute_inner,1.21,4.15,3.0507999999999997
Sql_cmd_delete::delete_from_single_table,1.15,4.13,3.022999999999999
open_tables,2.18,4.82,2.993100000000002
ha_innobase::create,2.89,2.89,2.89
innobase_basic_ddl::create_impl<dd::Table>,2.88,2.88,2.88
Protocol_classic::get_command,2.23,4.14,2.848900000000001
btr_cur_optimistic_insert,0.74,4.61,2.8101
trx_assign_read_view,0.13,4.9,2.7707999999999995
try_to_wake_up,1.9,4.78,2.7592000000000003
MYSQL_BIN_LOG::ordered_commit,1.33,3.63,2.7382999999999997
Protocol_classic::read_packet,2.16,4.0,2.7354000000000003
Query_expression::execute,2.0,6.14,2.7078
my_net_read,2.13,3.93,2.700599999999999
Query_expression::ExecuteIteratorQuery,1.89,6.02,2.5740999999999996
__x64_sys_sendto,1.74,4.45,2.5070999999999994
